location,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Ireland,2021-03-12,70-79,10.42,2.65
Ireland,2021-03-12,80+,85.24,11.04
Ireland,2021-03-19,18-24,5.19,2.08
Ireland,2021-03-19,25-49,9.01,4.64
Ireland,2021-03-19,50-59,11.21,5.65
Ireland,2021-03-19,60-69,8.14,3.88
Ireland,2021-03-19,70-79,16.48,2.93
Ireland,2021-03-19,80+,97.36,20.17
Ireland,2021-03-26,18-24,6.01,2.13
Ireland,2021-03-26,25-49,10.04,4.71
Ireland,2021-03-26,50-59,12.75,5.78
Ireland,2021-03-26,60-69,9.92,4.1
Ireland,2021-03-26,70-79,29.38,4.09
Ireland,2021-03-26,80+,100.8,41.18
Ireland,2021-04-02,18-24,6.84,2.16
Ireland,2021-04-02,25-49,10.91,4.77
Ireland,2021-04-02,50-59,14.1,5.85
Ireland,2021-04-02,60-69,11.88,4.28
Ireland,2021-04-02,70-79,43.39,7.08
Ireland,2021-04-02,80+,103.05,63.05
Ireland,2021-04-09,18-24,7.49,2.18
Ireland,2021-04-09,25-49,11.67,4.8
Ireland,2021-04-09,50-59,15.5,5.9
Ireland,2021-04-09,60-69,14.13,4.4
Ireland,2021-04-09,70-79,58.82,9.97
Ireland,2021-04-09,80+,103.97,80.96
Ireland,2021-04-16,18-24,7.64,2.2
Ireland,2021-04-16,25-49,12.0,4.83
Ireland,2021-04-16,50-59,16.33,5.95
Ireland,2021-04-16,60-69,17.32,4.53
Ireland,2021-04-16,70-79,83.94,15.9
Ireland,2021-04-16,80+,104.72,92.43
Ireland,2021-04-23,18-24,8.04,2.23
Ireland,2021-04-23,25-49,12.8,4.87
Ireland,2021-04-23,50-59,18.73,6.02
Ireland,2021-04-23,60-69,30.85,4.73
Ireland,2021-04-23,70-79,98.72,28.48
Ireland,2021-04-23,80+,105.16,95.16
Ireland,2021-04-30,18-24,8.92,2.25
Ireland,2021-04-30,25-49,14.53,4.9
Ireland,2021-04-30,50-59,23.51,6.09
Ireland,2021-04-30,60-69,49.21,4.95
Ireland,2021-04-30,70-79,101.59,41.83
Ireland,2021-04-30,80+,105.44,96.85
Ireland,2021-05-07,18-24,9.85,2.28
Ireland,2021-05-07,25-49,16.25,4.98
Ireland,2021-05-07,50-59,28.1,6.31
Ireland,2021-05-07,60-69,75.4,5.67
Ireland,2021-05-07,70-79,102.32,56.89
Ireland,2021-05-07,80+,105.6,97.43
Ireland,2021-05-14,18-24,10.73,2.43
Ireland,2021-05-14,25-49,17.77,5.26
Ireland,2021-05-14,50-59,46.96,7.09
Ireland,2021-05-14,60-69,89.4,8.04
Ireland,2021-05-14,70-79,102.83,80.67
Ireland,2021-05-14,80+,105.71,97.9
Ireland,2021-05-21,18-24,11.68,2.95
Ireland,2021-05-21,25-49,19.7,6.14
Ireland,2021-05-21,50-59,75.86,15.68
Ireland,2021-05-21,60-69,92.12,10.71
Ireland,2021-05-21,70-79,103.06,92.49
Ireland,2021-05-21,80+,105.77,98.15
Ireland,2021-05-28,18-24,12.95,4.71
Ireland,2021-05-28,25-49,25.05,9.26
Ireland,2021-05-28,50-59,86.44,24.51
Ireland,2021-05-28,60-69,93.82,13.08
Ireland,2021-05-28,70-79,103.23,94.7
Ireland,2021-05-28,80+,105.83,98.33
Ireland,2021-06-04,18-24,14.08,6.43
Ireland,2021-06-04,25-49,32.09,11.99
Ireland,2021-06-04,50-59,90.31,31.5
Ireland,2021-06-04,60-69,94.75,15.15
Ireland,2021-06-04,70-79,103.35,95.29
Ireland,2021-06-04,80+,105.88,98.47
Ireland,2021-06-11,18-24,15.2,7.58
Ireland,2021-06-11,25-49,39.7,13.83
Ireland,2021-06-11,50-59,91.72,44.91
Ireland,2021-06-11,60-69,95.2,17.39
Ireland,2021-06-11,70-79,103.45,95.72
Ireland,2021-06-11,80+,105.91,98.57
Ireland,2021-06-18,18-24,16.25,9.88
Ireland,2021-06-18,25-49,44.1,17.43
Ireland,2021-06-18,50-59,92.24,67.96
Ireland,2021-06-18,60-69,95.46,26.89
Ireland,2021-06-18,70-79,103.54,96.71
Ireland,2021-06-18,80+,105.95,98.67
Ireland,2021-06-25,18-24,17.53,11.95
Ireland,2021-06-25,25-49,49.12,22.24
Ireland,2021-06-25,50-59,92.51,80.41
Ireland,2021-06-25,60-69,95.65,44.75
Ireland,2021-06-25,70-79,103.61,97.65
Ireland,2021-06-25,80+,105.96,98.75
Ireland,2021-07-02,18-24,18.91,13.38
Ireland,2021-07-02,25-49,54.89,28.65
Ireland,2021-07-02,50-59,92.74,84.06
Ireland,2021-07-02,60-69,95.79,64.35
Ireland,2021-07-02,70-79,103.65,98.01
Ireland,2021-07-02,80+,105.98,98.81
Ireland,2021-07-06,18-24,19.39,13.65
Ireland,2021-07-06,25-49,56.12,30.98
Ireland,2021-07-06,50-59,92.78,84.83
Ireland,2021-07-06,60-69,95.83,70.88
Ireland,2021-07-06,70-79,103.66,98.07
Ireland,2021-07-06,80+,105.99,98.82
Italy,2021-01-01,18-24,0.0,0.0
Italy,2021-01-01,25-49,0.02,0.0
Italy,2021-01-01,50-59,0.02,0.0
Italy,2021-01-01,60-69,0.02,0.0
Italy,2021-01-01,70-79,0.0,0.0
Italy,2021-01-01,80+,0.0,0.0
Italy,2021-04-02,18-24,3.44,2.08
Italy,2021-04-02,25-49,8.67,4.58
Italy,2021-04-02,50-59,11.27,5.44
Italy,2021-04-02,60-69,9.9,4.64
Italy,2021-04-02,70-79,13.66,2.06
Italy,2021-04-02,80+,62.15,34.36
Italy,2021-04-09,18-24,3.87,2.2
Italy,2021-04-09,25-49,9.36,4.78
Italy,2021-04-09,50-59,12.4,5.73
Italy,2021-04-09,60-69,12.17,5.05
Italy,2021-04-09,70-79,22.63,2.76
Italy,2021-04-09,80+,73.52,41.87
Italy,2021-04-16,18-24,4.24,2.34
Italy,2021-04-16,25-49,9.95,5.0
Italy,2021-04-16,50-59,13.53,6.11
Italy,2021-04-16,60-69,16.36,5.7
Italy,2021-04-16,70-79,36.46,4.15
Italy,2021-04-16,80+,79.67,49.23
Italy,2021-04-23,18-24,4.64,2.52
Italy,2021-04-23,25-49,10.59,5.28
Italy,2021-04-23,50-59,14.75,6.63
Italy,2021-04-23,60-69,22.64,6.76
Italy,2021-04-23,70-79,50.37,6.67
Italy,2021-04-23,80+,83.98,58.25
Italy,2021-04-30,18-24,5.38,2.79
Italy,2021-04-30,25-49,11.54,5.74
Italy,2021-04-30,50-59,17.0,7.47
Italy,2021-04-30,60-69,32.66,8.63
Italy,2021-04-30,70-79,62.84,10.84
Italy,2021-04-30,80+,86.37,68.81
Italy,2021-05-07,18-24,6.27,3.22
Italy,2021-05-07,25-49,12.73,6.6
Italy,2021-05-07,50-59,21.06,8.91
Italy,2021-05-07,60-69,45.66,11.48
Italy,2021-05-07,70-79,71.72,16.36
Italy,2021-05-07,80+,87.96,75.4
Italy,2021-05-14,18-24,7.5,3.66
Italy,2021-05-14,25-49,14.31,7.67
Italy,2021-05-14,50-59,27.84,10.84
Italy,2021-05-14,60-69,57.64,14.89
Italy,2021-05-14,70-79,76.71,22.99
Italy,2021-05-14,80+,89.22,79.43
Italy,2021-05-21,18-24,8.85,4.46
Italy,2021-05-21,25-49,16.68,9.25
Italy,2021-05-21,50-59,35.57,13.97
Italy,2021-05-21,60-69,65.33,21.19
Italy,2021-05-21,70-79,80.03,28.94
Italy,2021-05-21,80+,90.23,81.69
Italy,2021-05-28,18-24,10.52,5.55
Italy,2021-05-28,25-49,19.56,11.14
Italy,2021-05-28,50-59,44.17,18.4
Italy,2021-05-28,60-69,71.11,27.6
Italy,2021-05-28,70-79,82.22,34.17
Italy,2021-05-28,80+,91.06,83.31
Italy,2021-06-04,18-24,16.74,6.94
Italy,2021-06-04,25-49,25.37,12.58
Italy,2021-06-04,50-59,55.89,21.68
Italy,2021-06-04,60-69,75.05,31.14
Italy,2021-06-04,70-79,83.79,37.44
Italy,2021-06-04,80+,91.67,84.43
Italy,2021-06-11,18-24,23.53,7.7
Italy,2021-06-11,25-49,34.04,13.82
Italy,2021-06-11,50-59,64.9,23.98
Italy,2021-06-11,60-69,77.8,34.18
Italy,2021-06-11,70-79,85.05,41.0
Italy,2021-06-11,80+,92.24,85.34
Italy,2021-06-18,18-24,28.82,8.76
Italy,2021-06-18,25-49,41.06,15.42
Italy,2021-06-18,50-59,68.47,28.88
Italy,2021-06-18,60-69,79.14,40.78
Italy,2021-06-18,70-79,85.73,46.71
Italy,2021-06-18,80+,92.59,86.51
Italy,2021-06-25,18-24,35.52,10.01
Italy,2021-06-25,25-49,47.36,17.52
Italy,2021-06-25,50-59,70.65,36.0
Italy,2021-06-25,60-69,80.12,46.58
Italy,2021-06-25,70-79,86.28,53.48
Italy,2021-06-25,80+,92.87,87.64
Italy,2021-07-02,18-24,43.23,11.86
Italy,2021-07-02,25-49,51.54,20.27
Italy,2021-07-02,50-59,72.07,43.25
Italy,2021-07-02,60-69,80.9,51.63
Italy,2021-07-02,70-79,86.72,62.74
Italy,2021-07-02,80+,93.09,88.56
Italy,2021-07-06,18-24,45.76,13.36
Italy,2021-07-06,25-49,52.67,21.64
Italy,2021-07-06,50-59,72.46,46.46
Italy,2021-07-06,60-69,81.15,53.93
Italy,2021-07-06,70-79,86.88,66.23
Italy,2021-07-06,80+,93.17,88.82
Jersey,2021-04-04,50-54,82.0,16.0
Jersey,2021-04-04,55-59,91.0,33.0
Jersey,2021-04-04,60-64,95.0,37.0
Jersey,2021-04-04,65-69,90.0,67.0
Jersey,2021-04-04,70-74,96.0,60.0
Jersey,2021-04-04,75-79,97.0,72.0
Jersey,2021-04-04,80+,100.0,86.0
Jersey,2021-04-11,0-17,0.0,0.0
Jersey,2021-04-11,18-29,10.0,5.0
Jersey,2021-04-11,30-39,13.0,7.0
Jersey,2021-04-11,40-49,23.0,12.0
Jersey,2021-04-11,50-54,83.0,17.0
Jersey,2021-04-11,55-59,91.0,45.0
Jersey,2021-04-11,60-64,95.0,40.0
Jersey,2021-04-11,65-69,91.0,73.0
Jersey,2021-04-11,70-74,96.0,66.0
Jersey,2021-04-11,75-79,97.0,81.0
Jersey,2021-04-11,80+,100.0,90.0
Jersey,2021-04-18,0-17,0.0,0.0
Jersey,2021-04-18,18-29,10.0,6.0
Jersey,2021-04-18,30-39,14.0,8.0
Jersey,2021-04-18,40-49,48.0,14.0
Jersey,2021-04-18,50-54,83.0,19.0
Jersey,2021-04-18,55-59,92.0,47.0
Jersey,2021-04-18,60-64,95.0,43.0
Jersey,2021-04-18,65-69,91.0,77.0
Jersey,2021-04-18,70-74,96.0,75.0
Jersey,2021-04-18,75-79,98.0,87.0
Jersey,2021-04-18,80+,100.0,95.0
Jersey,2021-04-25,0-17,0.0,0.0
Jersey,2021-04-25,18-29,10.0,6.0
Jersey,2021-04-25,30-39,14.0,9.0
Jersey,2021-04-25,40-49,65.0,15.0
Jersey,2021-04-25,50-54,85.0,23.0
Jersey,2021-04-25,55-59,93.0,53.0
Jersey,2021-04-25,60-64,96.0,50.0
Jersey,2021-04-25,65-69,91.0,80.0
Jersey,2021-04-25,70-74,96.0,84.0
Jersey,2021-04-25,75-79,98.0,91.0
Jersey,2021-04-25,80+,100.0,98.0
Jersey,2021-05-02,0-17,0.0,0.0
Jersey,2021-05-02,18-29,10.0,1.0
Jersey,2021-05-02,30-39,14.0,11.0
Jersey,2021-05-02,40-49,67.0,18.0
Jersey,2021-05-02,50-54,85.0,30.0
Jersey,2021-05-02,55-59,93.0,63.0
Jersey,2021-05-02,60-64,96.0,83.0
Jersey,2021-05-02,65-69,92.0,85.0
Jersey,2021-05-02,70-74,96.0,91.0
Jersey,2021-05-02,75-79,99.0,95.0
Jersey,2021-05-02,80+,100.0,99.0
Jersey,2021-05-12,0-17,1.0,1.0
Jersey,2021-05-12,18-29,10.0,8.0
Jersey,2021-05-12,30-39,26.0,12.0
Jersey,2021-05-12,40-49,71.0,19.0
Jersey,2021-05-12,50-54,87.0,47.0
Jersey,2021-05-12,55-59,94.0,76.0
Jersey,2021-05-12,60-64,97.0,87.0
Jersey,2021-05-12,65-69,92.0,87.0
Jersey,2021-05-12,70-74,97.0,93.0
Jersey,2021-05-12,75-79,99.0,96.0
Jersey,2021-05-12,80+,100.0,100.0
Jersey,2021-05-16,0-17,1.0,1.0
Jersey,2021-05-16,18-29,10.0,8.0
Jersey,2021-05-16,30-39,33.0,12.0
Jersey,2021-05-16,40-49,73.0,19.0
Jersey,2021-05-16,50-54,87.0,58.0
Jersey,2021-05-16,55-59,94.0,80.0
Jersey,2021-05-16,60-64,97.0,88.0
Jersey,2021-05-16,65-69,92.0,88.0
Jersey,2021-05-16,70-74,97.0,93.0
Jersey,2021-05-16,75-79,99.0,96.0
Jersey,2021-05-16,80+,100.0,100.0
Jersey,2021-05-19,0-17,1.0,1.0
Jersey,2021-05-19,18-29,10.0,8.0
Jersey,2021-05-19,30-39,46.0,12.0
Jersey,2021-05-19,40-49,74.0,19.0
Jersey,2021-05-19,50-54,87.0,58.0
Jersey,2021-05-19,55-59,95.0,80.0
Jersey,2021-05-19,60-64,97.0,89.0
Jersey,2021-05-19,65-69,92.0,88.0
Jersey,2021-05-19,70-74,97.0,94.0
Jersey,2021-05-19,75-79,99.0,96.0
Jersey,2021-05-19,80+,100.0,100.0
Jersey,2021-05-23,0-17,0.0,0.0
Jersey,2021-05-23,18-29,11.0,9.0
Jersey,2021-05-23,30-39,46.0,13.0
Jersey,2021-05-23,40-49,74.0,24.0
Jersey,2021-05-23,50-54,87.0,74.0
Jersey,2021-05-23,55-59,95.0,87.0
Jersey,2021-05-23,60-64,97.0,92.0
Jersey,2021-05-23,65-69,92.0,89.0
Jersey,2021-05-23,70-74,97.0,95.0
Jersey,2021-05-23,75-79,99.0,97.0
Jersey,2021-05-23,80+,100.0,100.0
Jersey,2021-05-26,0-17,0.0,0.0
Jersey,2021-05-26,18-29,11.0,9.0
Jersey,2021-05-26,30-39,50.0,13.0
Jersey,2021-05-26,40-49,75.0,34.0
Jersey,2021-05-26,50-54,88.0,76.0
Jersey,2021-05-26,55-59,95.0,88.0
Jersey,2021-05-26,60-64,97.0,93.0
Jersey,2021-05-26,65-69,92.0,90.0
Jersey,2021-05-26,70-74,97.0,95.0
Jersey,2021-05-26,75-79,99.0,97.0
Jersey,2021-05-26,80+,100.0,100.0
Jersey,2021-05-30,0-17,0.0,0.0
Jersey,2021-05-30,18-29,11.0,9.0
Jersey,2021-05-30,30-39,54.0,13.0
Jersey,2021-05-30,40-49,76.0,42.0
Jersey,2021-05-30,50-54,88.0,80.0
Jersey,2021-05-30,55-59,95.0,90.0
Jersey,2021-05-30,60-64,97.0,94.0
Jersey,2021-05-30,65-69,92.0,91.0
Jersey,2021-05-30,70-74,97.0,95.0
Jersey,2021-05-30,75-79,99.0,97.0
Jersey,2021-05-30,80+,100.0,100.0
Jersey,2021-06-02,0-17,0.0,0.0
Jersey,2021-06-02,18-29,11.0,9.0
Jersey,2021-06-02,30-39,55.0,13.0
Jersey,2021-06-02,40-49,77.0,54.0
Jersey,2021-06-02,50-54,88.0,82.0
Jersey,2021-06-02,55-59,95.0,91.0
Jersey,2021-06-02,60-64,97.0,94.0
Jersey,2021-06-02,65-69,93.0,91.0
Jersey,2021-06-02,70-74,97.0,95.0
Jersey,2021-06-02,75-79,99.0,97.0
Jersey,2021-06-02,80+,100.0,100.0
Jersey,2021-06-06,0-17,0.0,0.0
Jersey,2021-06-06,18-29,17.0,9.0
Jersey,2021-06-06,30-39,60.0,13.0
Jersey,2021-06-06,40-49,78.0,54.0
Jersey,2021-06-06,50-54,89.0,82.0
Jersey,2021-06-06,55-59,96.0,91.0
Jersey,2021-06-06,60-64,98.0,95.0
Jersey,2021-06-06,65-69,93.0,91.0
Jersey,2021-06-06,70-74,97.0,96.0
Jersey,2021-06-06,75-79,99.0,98.0
Jersey,2021-06-06,80+,100.0,100.0
Jersey,2021-06-09,0-17,1.0,1.0
Jersey,2021-06-09,18-29,23.0,9.0
Jersey,2021-06-09,30-39,61.0,13.0
Jersey,2021-06-09,40-49,79.0,55.0
Jersey,2021-06-09,50-54,89.0,82.0
Jersey,2021-06-09,55-59,96.0,92.0
Jersey,2021-06-09,60-64,98.0,95.0
Jersey,2021-06-09,65-69,93.0,91.0
Jersey,2021-06-09,70-74,98.0,96.0
Jersey,2021-06-09,75-79,100.0,98.0
Jersey,2021-06-09,80+,100.0,100.0
Jersey,2021-06-13,0-17,1.0,1.0
Jersey,2021-06-13,18-29,25.0,9.0
Jersey,2021-06-13,30-39,62.0,14.0
Jersey,2021-06-13,40-49,79.0,62.0
Jersey,2021-06-13,50-54,89.0,84.0
Jersey,2021-06-13,55-59,96.0,92.0
Jersey,2021-06-13,60-64,98.0,95.0
Jersey,2021-06-13,65-69,93.0,91.0
Jersey,2021-06-13,70-74,98.0,96.0
Jersey,2021-06-13,75-79,100.0,98.0
Jersey,2021-06-13,80+,100.0,100.0
Jersey,2021-06-16,0-17,1.0,1.0
Jersey,2021-06-16,18-29,33.0,9.0
Jersey,2021-06-16,30-39,63.0,14.0
Jersey,2021-06-16,40-49,79.0,62.0
Jersey,2021-06-16,50-54,89.0,84.0
Jersey,2021-06-16,55-59,96.0,92.0
Jersey,2021-06-16,60-64,98.0,95.0
Jersey,2021-06-16,65-69,93.0,91.0
Jersey,2021-06-16,70-74,98.0,96.0
Jersey,2021-06-16,75-79,100.0,98.0
Jersey,2021-06-16,80+,100.0,100.0
Jersey,2021-06-20,0-17,0.0,0.0
Jersey,2021-06-20,18-29,42.0,10.0
Jersey,2021-06-20,30-39,64.0,14.0
Jersey,2021-06-20,40-49,80.0,62.0
Jersey,2021-06-20,50-54,89.0,84.0
Jersey,2021-06-20,55-59,96.0,93.0
Jersey,2021-06-20,60-64,98.0,95.0
Jersey,2021-06-20,65-69,93.0,91.0
Jersey,2021-06-20,70-74,98.0,96.0
Jersey,2021-06-20,75-79,100.0,98.0
Jersey,2021-06-20,80+,100.0,100.0
Jersey,2021-06-23,0-17,1.0,1.0
Jersey,2021-06-23,18-29,46.0,10.0
Jersey,2021-06-23,30-39,65.0,15.0
Jersey,2021-06-23,40-49,80.0,63.0
Jersey,2021-06-23,50-54,89.0,84.0
Jersey,2021-06-23,55-59,96.0,93.0
Jersey,2021-06-23,60-64,98.0,96.0
Jersey,2021-06-23,65-69,93.0,91.0
Jersey,2021-06-23,70-74,98.0,96.0
Jersey,2021-06-23,75-79,100.0,99.0
Jersey,2021-06-23,80+,100.0,100.0
Jersey,2021-06-27,0-17,1.0,1.0
Jersey,2021-06-27,18-29,51.0,10.0
Jersey,2021-06-27,30-39,67.0,16.0
Jersey,2021-06-27,40-49,81.0,66.0
Jersey,2021-06-27,50-54,89.0,84.0
Jersey,2021-06-27,55-59,96.0,93.0
Jersey,2021-06-27,60-64,98.0,96.0
Jersey,2021-06-27,65-69,93.0,91.0
Jersey,2021-06-27,70-74,98.0,96.0
Jersey,2021-06-27,75-79,100.0,99.0
Jersey,2021-06-27,80+,100.0,100.0
Latvia,2021-01-08,18-24,0.31,0.0
Latvia,2021-01-08,25-49,0.54,0.0
Latvia,2021-01-08,50-59,0.66,0.0
Latvia,2021-01-08,60-69,0.49,0.0
Latvia,2021-01-08,70-79,0.11,0.0
Latvia,2021-01-08,80+,0.02,0.0
Latvia,2021-01-15,18-24,0.69,0.0
Latvia,2021-01-15,25-49,1.16,0.0
Latvia,2021-01-15,50-59,1.54,0.0
Latvia,2021-01-15,60-69,1.23,0.0
Latvia,2021-01-15,70-79,0.35,0.0
Latvia,2021-01-15,80+,0.08,0.0
Latvia,2021-01-22,18-24,0.74,0.1
Latvia,2021-01-22,25-49,1.23,0.19
Latvia,2021-01-22,50-59,1.63,0.18
Latvia,2021-01-22,60-69,1.29,0.11
Latvia,2021-01-22,70-79,0.38,0.03
Latvia,2021-01-22,80+,0.08,0.0
Latvia,2021-01-29,18-24,0.76,0.29
Latvia,2021-01-29,25-49,1.25,0.52
Latvia,2021-01-29,50-59,1.65,0.64
Latvia,2021-01-29,60-69,1.31,0.47
Latvia,2021-01-29,70-79,0.38,0.11
Latvia,2021-01-29,80+,0.08,0.02
Latvia,2021-02-05,18-24,0.77,0.62
Latvia,2021-02-05,25-49,1.29,1.04
Latvia,2021-02-05,50-59,1.73,1.42
Latvia,2021-02-05,60-69,1.38,1.13
Latvia,2021-02-05,70-79,0.4,0.31
Latvia,2021-02-05,80+,0.09,0.06
Latvia,2021-02-12,18-24,0.98,0.7
Latvia,2021-02-12,25-49,1.49,1.19
Latvia,2021-02-12,50-59,2.0,1.57
Latvia,2021-02-12,60-69,1.65,1.26
Latvia,2021-02-12,70-79,0.54,0.36
Latvia,2021-02-12,80+,0.26,0.08
Latvia,2021-02-19,18-24,1.16,0.73
Latvia,2021-02-19,25-49,1.82,1.23
Latvia,2021-02-19,50-59,2.59,1.62
Latvia,2021-02-19,60-69,2.27,1.29
Latvia,2021-02-19,70-79,1.45,0.38
Latvia,2021-02-19,80+,1.42,0.08
Latvia,2021-02-26,18-24,1.49,0.74
Latvia,2021-02-26,25-49,2.09,1.24
Latvia,2021-02-26,50-59,3.01,1.64
Latvia,2021-02-26,60-69,2.87,1.31
Latvia,2021-02-26,70-79,6.06,0.38
Latvia,2021-02-26,80+,5.08,0.08
Latvia,2021-03-05,18-24,1.63,0.78
Latvia,2021-03-05,25-49,2.26,1.3
Latvia,2021-03-05,50-59,3.34,1.74
Latvia,2021-03-05,60-69,3.47,1.41
Latvia,2021-03-05,70-79,11.76,0.41
Latvia,2021-03-05,80+,10.0,0.09
Latvia,2021-03-12,18-24,1.74,0.78
Latvia,2021-03-12,25-49,2.38,1.31
Latvia,2021-03-12,50-59,3.59,1.75
Latvia,2021-03-12,60-69,4.11,1.42
Latvia,2021-03-12,70-79,16.26,0.42
Latvia,2021-03-12,80+,13.81,0.09
Latvia,2021-03-19,18-24,1.76,0.82
Latvia,2021-03-19,25-49,2.42,1.36
Latvia,2021-03-19,50-59,3.65,1.81
Latvia,2021-03-19,60-69,4.31,1.46
Latvia,2021-03-19,70-79,17.73,0.52
Latvia,2021-03-19,80+,14.94,0.16
Latvia,2021-03-26,18-24,1.89,0.9
Latvia,2021-03-26,25-49,2.68,1.43
Latvia,2021-03-26,50-59,4.37,1.92
Latvia,2021-03-26,60-69,6.23,1.56
Latvia,2021-03-26,70-79,22.76,1.25
Latvia,2021-03-26,80+,18.85,0.73
Latvia,2021-04-02,18-24,2.13,0.96
Latvia,2021-04-02,25-49,3.17,1.5
Latvia,2021-04-02,50-59,5.56,2.03
Latvia,2021-04-02,60-69,8.67,1.71
Latvia,2021-04-02,70-79,25.56,2.04
Latvia,2021-04-02,80+,20.91,1.34
Latvia,2021-04-09,18-24,2.65,0.99
Latvia,2021-04-09,25-49,3.98,1.53
Latvia,2021-04-09,50-59,7.17,2.08
Latvia,2021-04-09,60-69,13.84,1.77
Latvia,2021-04-09,70-79,28.29,2.42
Latvia,2021-04-09,80+,23.14,1.66
Latvia,2021-04-16,18-24,4.15,1.05
Latvia,2021-04-16,25-49,5.85,1.62
Latvia,2021-04-16,50-59,9.53,2.21
Latvia,2021-04-16,60-69,17.45,1.91
Latvia,2021-04-16,70-79,29.88,2.61
Latvia,2021-04-16,80+,24.42,1.84
Latvia,2021-04-23,18-24,4.99,1.2
Latvia,2021-04-23,25-49,7.92,1.91
Latvia,2021-04-23,50-59,12.52,2.78
Latvia,2021-04-23,60-69,22.0,2.91
Latvia,2021-04-23,70-79,32.07,4.45
Latvia,2021-04-23,80+,26.01,3.3
Latvia,2021-04-30,18-24,6.44,1.53
Latvia,2021-04-30,25-49,10.8,2.25
Latvia,2021-04-30,50-59,15.99,3.4
Latvia,2021-04-30,60-69,26.21,3.91
Latvia,2021-04-30,70-79,34.43,7.9
Latvia,2021-04-30,80+,27.65,6.11
Latvia,2021-05-07,18-24,10.78,1.95
Latvia,2021-05-07,25-49,15.64,3.11
Latvia,2021-05-07,50-59,19.6,4.92
Latvia,2021-05-07,60-69,29.05,6.49
Latvia,2021-05-07,70-79,36.08,12.12
Latvia,2021-05-07,80+,28.83,9.73
Latvia,2021-05-14,18-24,16.18,2.79
Latvia,2021-05-14,25-49,21.65,4.85
Latvia,2021-05-14,50-59,24.59,7.39
Latvia,2021-05-14,60-69,32.25,10.1
Latvia,2021-05-14,70-79,38.23,17.36
Latvia,2021-05-14,80+,30.36,13.97
Latvia,2021-05-21,18-24,20.0,4.5
Latvia,2021-05-21,25-49,25.58,8.13
Latvia,2021-05-21,50-59,28.01,11.5
Latvia,2021-05-21,60-69,34.87,15.54
Latvia,2021-05-21,70-79,39.95,23.02
Latvia,2021-05-21,80+,31.28,18.18
Latvia,2021-05-28,18-24,24.34,9.16
Latvia,2021-05-28,25-49,28.85,13.51
Latvia,2021-05-28,50-59,30.85,16.2
Latvia,2021-05-28,60-69,37.04,20.48
Latvia,2021-05-28,70-79,41.48,28.47
Latvia,2021-05-28,80+,32.06,22.16
Latvia,2021-06-04,18-24,28.13,15.38
Latvia,2021-06-04,25-49,31.12,20.15
Latvia,2021-06-04,50-59,32.85,21.96
Latvia,2021-06-04,60-69,38.71,25.07
Latvia,2021-06-04,70-79,42.73,32.96
Latvia,2021-06-04,80+,32.72,25.35
Latvia,2021-06-11,18-24,31.58,19.6
Latvia,2021-06-11,25-49,33.31,24.58
Latvia,2021-06-11,50-59,34.83,26.33
Latvia,2021-06-11,60-69,40.38,30.01
Latvia,2021-06-11,70-79,43.97,36.8
Latvia,2021-06-11,80+,33.31,28.06
Latvia,2021-06-18,18-24,34.17,24.23
Latvia,2021-06-18,25-49,35.14,28.51
Latvia,2021-06-18,50-59,36.59,30.22
Latvia,2021-06-18,60-69,41.85,34.25
Latvia,2021-06-18,70-79,45.08,39.89
Latvia,2021-06-18,80+,33.79,30.14
Latvia,2021-06-25,18-24,34.99,26.39
Latvia,2021-06-25,25-49,35.75,30.1
Latvia,2021-06-25,50-59,37.14,31.81
Latvia,2021-06-25,60-69,42.34,36.09
Latvia,2021-06-25,70-79,45.43,41.03
Latvia,2021-06-25,80+,33.9,30.91
Latvia,2021-07-02,18-24,37.26,31.76
Latvia,2021-07-02,25-49,37.38,33.89
Latvia,2021-07-02,50-59,38.87,35.44
Latvia,2021-07-02,60-69,43.88,40.31
Latvia,2021-07-02,70-79,46.49,43.42
Latvia,2021-07-02,80+,34.32,32.38
Lithuania,2021-01-01,18-24,0.04,0.0
Lithuania,2021-01-01,25-49,0.14,0.0
Lithuania,2021-01-01,50-59,0.17,0.0
Lithuania,2021-01-01,60-69,0.1,0.0
Lithuania,2021-01-01,70-79,0.01,0.0
Lithuania,2021-01-08,18-24,0.35,0.0
Lithuania,2021-01-08,25-49,1.06,0.0
Lithuania,2021-01-08,50-59,1.77,0.0
Lithuania,2021-01-08,60-69,1.38,0.0
Lithuania,2021-01-08,70-79,0.25,0.0
Lithuania,2021-01-08,80+,0.11,0.0
Lithuania,2021-01-15,18-24,0.71,0.03
Lithuania,2021-01-15,25-49,2.02,0.08
Lithuania,2021-01-15,50-59,3.52,0.06
Lithuania,2021-01-15,60-69,2.95,0.03
Lithuania,2021-01-15,70-79,1.05,0.0
Lithuania,2021-01-15,80+,1.52,0.0
Lithuania,2021-01-22,18-24,0.8,0.14
Lithuania,2021-01-22,25-49,2.28,0.46
Lithuania,2021-01-22,50-59,3.94,0.68
Lithuania,2021-01-22,60-69,3.39,0.44
Lithuania,2021-01-22,70-79,1.3,0.06
Lithuania,2021-01-22,80+,2.37,0.0
Lithuania,2021-01-29,18-24,1.16,0.3
Lithuania,2021-01-29,25-49,2.93,0.98
Lithuania,2021-01-29,50-59,4.67,1.61
Lithuania,2021-01-29,60-69,3.95,1.23
